Nome,cargo.partido,pontuação inicial,presença,privilégios,participação,processos,outros,qualidade,pontuação
Iriny Nicolau Corres Lopes (Iriny Lopes),Deputado Federal - PT,200,-5,0,0,0,10,-97,108
Edson Santos de Souza (Edson Santos),Deputado Federal - PT,200,10,-5,10,-50,0,-56,109
Lincoln Diniz Portela (Lincoln Portela),Deputado Federal - PR,200,85,-35,20,-125,-10,-26,109
Luiz Gonzaga Patriota (Gonzaga Patriota),Deputado Federal - PSB,200,60,-45,0,0,-10,-96,109
Maria do Socorro Jô Moraes (Jô Moraes),Deputado Federal - PCdoB,200,60,-20,0,0,20,-150,110
Reinaldo Azambuja Silva (Reinaldo Azambuja),Deputado Federal - PSDB,200,40,10,0,-150,0,10,110
Edison Lobão Filho (Lobão Filho),Senador - PMDB,200,Não disponível,-15,0,-100,10,16,111
Francisco Lopes da Silva (Chico Lopes),Deputado Federal - PCdoB,200,70,-40,10,0,0,-129,111
Rebecca Martins Garcia (Rebecca Garcia),Deputado Federal - PP,200,5,20,0,0,0,-111,114
Ságuas Moraes Sousa (Ságuas Moraes),Deputado Federal - PT,200,40,60,-30,-150,20,-26,114
José Severiano Chaves (José Chaves),Deputado Federal - PTB,200,-15,-30,0,0,-20,-20,115
Luiz Carlos Ghiorzzi Busato (Luiz Carlos Busato),Deputado Federal - PTB,200,-50,55,0,0,10,-99,116
Carlos Humberto Mannato (Manato),Deputado Federal - SDD,200,20,-30,0,0,0,-73,117
Édio Vieira Lopes (Édio Lopes),Deputado Federal - PMDB,200,20,-50,0,0,10,-62,118
Jaime Martins Filho (Jaime Martins),Deputado Federal - PSD,200,5,-20,10,0,0,-75,120
Manuela Pinto Vieira D'ávila (Manuela D'ávila),Deputado Federal - PCdoB,200,-65,-20,10,0,0,-5,120
Irajá Silvestre Filho (Irajá Abreu),Deputado Federal - PSD,200,-75,15,0,-25,10,-4,121
Humberto Sérgio Costa Lima (Humberto Costa),Senador - PT,200,Não disponível,-15,-10,-50,20,-23,122
Julio Luiz Baptista Lopes (Julio Lopes),Deputado Federal - PP,200,-35,100,-30,-125,10,2,122
Milton Antonio Casquel Monti (Milton Monti),Deputado Federal - PR,200,45,-15,0,0,0,-106,124
Rodrigo Sobral Rollemberg (Rodrigo Rollemberg),Senador - PSB,200,Não disponível,100,10,-25,20,-180,125
Dimas Fabiano Toledo Júnior (Dimas Fabiano),Deputado Federal - PP,200,0,20,0,-100,0,6,126
Nilson Pinto de Oliveira (Nilson Pinto),Deputado Federal - PSDB,200,-165,15,0,0,10,67,127
